Typ cery,Główny problem,Poboczny problem,Wrażliwa,Wiek,Mycie,Serum na dzień,Krem na dzień,SPF,Serum na noc,Krem na noc,Punktowo,Maseczka,Peeling
Normalna,Nadprodukcja sebum,Podrażnienie,1,18,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,Nacomi Next Level Serum Ceramidy 5%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Rozszerzone pory,Brak,0,23,Tołpa Dermo Face Sebio normalizujący żel do mycia twarzy,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF51,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Przebarwienia,Niedoskonałości,1,19,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,MIYA Serum z witaminą C na przebarwienia,HelloBody Aloe Light nawilżający krem do twarzy,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,Brak
Tłusta,Niedoskonałości,Suche skórki,1,28,CeraVe Oczyszczający Żel do Mycia ciała i twarzy,The Ordinary Hyaluronic Acid 2% + B5,Bandi - Delicate Care - Kojący Krem Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Yope Moon SPA krem do twarzy,Olejek z drzewa herbacianego The Body Shop,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin
Normalna,Rozszerzone pory,Suche skórki,1,17,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,Bandi - Delicate Care - Kojący Krem Matujący,Garnier Ambre Solaire SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Rozszerzone pory,Niedoskonałości,0,20,La Roche Posay Effaclar żel oczyszczający,Nacomi Next Level Serum Ceramidy 5%,Bandi Medical Expert Anti Dry Kremowa kuracja nawilżająco-naprawcza,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Maść Ichtiolowa,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Nadprodukcja sebum,Brak,0,22,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Tołpa Authentic Nawilżona Skóra,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Przebarwienia,Brak,0,16,Vianek Nawilżająca Emulsja Myjąca do Twarzy,MIYA Serum z witaminą C na przebarwienia,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Nadprodukcja sebum,Suche skórki,1,24,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Nacomi Next Level Serum Ceramidy 5%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Hydraliane,Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Podrażnienie,Przebarwienia,0,23,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Hagi phases,Naklejki na krostki z Selfie Project,The Ordinary - Salicylic Acid 2% Masque - Maska Glinkowo-Węglowa z 2% Kwasem Salicylowym,BANDI ANTI ACNE antytrądzikowy peeling kwasowy do twarzy
Mieszana,Widoczne naczynka,Brak,1,29,CeraVe Wygładzający Żel do Mycia,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",CeraVe Nawilżający Krem do Twarzy,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Widoczne naczynka,Przebarwienia,1,19,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,Revox Just Niacinamide 10%,CETAPHIL MD DERMOPROTEKTOR,Uriage Roseliane SPF30 krem do cery naczynkowej,Bielenda Professional SupremeLab Sebio Derm Serum do Twarzy,Tołpa Authentic Nawilżona Skóra,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Niedoskonałości,Suche skórki,0,18,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Garnier Ambre Solaire SPF 51,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Dermedic Melumin,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,The Ordinary - Salicylic Acid 2% Masque - Maska Glinkowo-Węglowa z 2% Kwasem Salicylowym,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Podrażnienie,Podrażnienie,0,20,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,CeraVe Nawilżający Krem do Twarzy,Naklejki na krostki z Selfie Project,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Suche skórki,1,25,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Tołpa - Hydrativ - Hialuronowe Serum-Booster Nawilżające,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",SVR Hydraliane,Naklejki na krostki z Selfie Project,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,FACEBOOM Seboom peeling kwasowy wygładzający
Mieszana,Nadprodukcja sebum,Brak,0,17,Missha - Super Aqua Ultra Hyalron Cleansing Foam,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,BIELENDA Blue Matcha krem-żel,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Niedoskonałości,Suche skórki,1,17,CeraVe Nawilżająca emulsja do mycia dla skóry normalnej i suchej,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Miya myBEUTYpeeling Peeling Enzymatyczny
Normalna,Niedoskonałości,Brak,0,22,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Revox Just Niacinamide 10%,CeraVe Nawilżający Krem do Twarzy,Garnier Ambre Solaire SPF 51,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Podrażnienie,Suche skórki,0,22,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Tołpa - Dermo Face Strefa T - Matujący Krem-Żel Nawilżający,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Tołpa Authentic Nawilżona Skóra,Acnederm,FACEBOOM rozświetlająco-nawilżająca maseczka w płacie,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Podrażnienie,Podrażnienie,0,27,Bielenda Fresh Juice Nawilżający micelarny żel do mycia twarzy z bioaktywną wodą cytrusową,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,HelloBody Aloe Light nawilżający krem do twarzy,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,BIELENDA Blue Matcha krem-żel,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Miya Cosmetics myBEAUTYexpress 3-minutowa maseczka wygładzająca z aktywnym węglem kokosowym,Brak
Normalna,Nadprodukcja sebum,Brak,1,26,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,SunewMed+ Vitamin C,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,BIELENDA Blue Matcha krem-żel,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,FACEBOOM Seboom peeling kwasowy wygładzający
Normalna,Nadprodukcja sebum,Brak,1,17,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Normalna,Widoczne naczynka,Szara cera,0,17,BIELENDA CBD Cannabidiol,Revox Just Niacinamide 10%,Bandi - Delicate Care - Kojący Krem Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,Nanili Professional T-Cream (Aktywny krem naprawczy),Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Maska Glinkowa Ziaja,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Nadprodukcja sebum,Brak,1,21,Żel Tołpa Dermo Face Physio,Hellobody - cararise ,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,SVR Sebiaclear Creme SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Mediheal NMF Aquaring Ampoule Mask EX,Miya myBEUTYpeeling Peeling Enzymatyczny
Sucha,Szara cera,Szara cera,1,31,Pharmaceris T Puri-Sebogel - antybakteryjny żel myjący do twarzy,Nacomi Next Level Serum Ceramidy 5%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Szara cera,Suche skórki,1,23,Cosrx - Low pH Good Morning Gel Cleanser - Łagodny Żel do Mycia Twarzy,Apis - Hyaluron 4D + Orchistem TM - Koncentrat Nawilżający,CeraVe Nawilżający Krem do Twarzy,Garnier Ambre Solaire SPF 50,Bielenda Hydra Boost nawilżające serum do twarzy,Dermedic Melumin,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Niedoskonałości,Brak,0,27,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający Krem do Twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",CeraVe Nawilżający Krem do Twarzy,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Nacomi Next Lvl Kwas Salicylowy 2% + Nacomi Biała Glinka do Twarzy Kaolin,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Normalna,Niedoskonałości,Brak,0,19,BIELENDA CBD Cannabidiol,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,CETAPHIL MD DERMOPROTEKTOR,SVR Sebiaclear Creme SPF 50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Widoczne naczynka,Suche skórki,1,23,ONLYBIO Face in Balance Pianka do twarzy adaptogenna enzymatyczna,MIYA Serum z witaminą C na przebarwienia,SunewMed+ Vitamin C,SVR Sebiaclear Creme SPF 50,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,SVR Hydraliane,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,brak
Mieszana,Nadprodukcja sebum,Podrażnienie,0,19,Missha - Super Aqua Ultra Hyalron Cleansing Foam,Nacomi Next Level Serum Ceramidy 5%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Dermedic Melumin,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Mieszana,Podrażnienie,Podrażnienie,1,22,Naturalny Żel Myjący Do Twarzy Rich Peach Resibo,Revox Just Niacinamide 10%,Bielenda Professional SupremeLAB Energetyzująco-Nawilżający Krem z Witaminą C,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Nanili Professional T-Cream (Aktywny krem naprawczy),Acnederm,Nacomi Next Lvl Kwas Salicylowy 2% + Nature Queen Glinka Zielona,Miya myBEUTYpeeling Peeling Enzymatyczny
Tłusta,Nadprodukcja sebum,Podrażnienie,0,17,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Eveline Cosmetics Beauty & Glow Matujące Serum z Probiotykami,Tołpa Authentic Nawilżona Skóra,Acnederm,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Sucha,Suche skórki,Przebarwienia,0,17,BIELENDA CBD Cannabidiol,Nacomi Next Level Serum Ceramidy 5%,CeraVe Nawilżający krem do twarzy,Revox Just Daily Sun Krem przeciwsłoneczny SPF53,MIYA COSMETICS BEAUTY LAB serum z prebiotykiem do twarzy,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Acnederm,Benton Goodbye Redness Centella Łagodząca Maska w Płacie,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Widoczne naczynka,Brak,0,22,FaceBoom Oczyszczająca pianka do mycia twarzy,Nacomi Next Lvl Serum z Witaminą C 15%,Bandi - Delicate Care - Kojący Krem Matujący,Uriage Roseliane SPF30 krem do cery naczynkowej,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Mieszana,Przebarwienia,Przebarwienia,0,19,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,SVR Sebiaclear Creme SPF 50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Say Hi Aqua Resort Bogaty Krem Wielopoziomowe Nawilżenie + Odbudowa Skóry,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Sucha,Nadprodukcja sebum,Podrażnienie,1,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Nacomi Next Level Serum Ceramidy 5%,FLUFF Superfood mleko do twarzy Liczi,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,The Ordinary Hyaluronic Acid 2% + B5,Avene Cleanance Women,Cosrx - AC Collection Acne Patch - Gojące Plastry na Wypryski z Ekstraktem z Wąkroty Azjatyckiej,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Niedoskonałości,Podrażnienie,0,24,Resibo Naturalny Żel Myjący Do Twarzy z Ekstraktem z Brzoskwini,Revox Just Niacinamide 10%,Cosrx - Balancium Comfort Ceramide Cream - Kojący Krem z Ceramidami,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,Bielenda Hydra Boost nawilżające serum do twarzy,Yope Moon SPA krem do twarzy,Maść z witaminą A,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Brak
Normalna,Podrażnienie,Podrażnienie,1,18,Vianek Nawilżająca Emulsja Myjąca do Twarzy,Nacomi Next Level Serum Ceramidy 5%,BIELENDA CERA NACZYNKOWA REDUKUJĄCY ZACZERWIENIENIA KREM NA DZIEŃ,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary Hyaluronic Acid 2% + B5,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Mediheal NMF Aquaring Ampoule Mask EX,Brak
Normalna,Widoczne naczynka,Brak,0,22,BIELENDA CBD Cannabidiol,MIYA Serum z witaminą C na przebarwienia,CeraVe Nawilżający Krem do Twarzy,Missha - All-Around Safe Block Aqua Sun Gel SPF50+ PA++++,"Geek & Gorgeous - A-Game 5 - Serum z Retinalem 0,05%",Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,TOŁPA DERMO FACE SEBIO peeling 3 enzymy
Sucha,Szara cera,Suche skórki,0,17,Żel Tołpa Dermo Face Physio,Revox Just Niacinamide 10%,CETAPHIL MD DERMOPROTEKTOR,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,Bielenda Hydra Boost nawilżające serum do twarzy,SVR Sensifine AR,Acnederm,Bielenda Hydra Boost nawilżające serum do twarzy + SKIN79 Nawilżająca maska algowa Skin Relaxer Algae Modeling Mask Moisturizing,BANDI ANTI DRY peeling kwasowy do twarzy silnie nawilżający
Tłusta,Nadprodukcja sebum,Niedoskonałości,1,25,Cetaphil - Pro Oil Control - Oczyszczająca Pianka do Mycia Skóry Tłustej i Mieszanej ,BasicLab Serum Zmniejszające Niedoskonałości Z Niacynamidem 5% Redukcja i Zwężenie,Cetaphil - Pro Oil Control SPF30 - Krem Nawilżająco-Matujący,Revox Just Daily Sun Krem przeciwsłoneczny SPF50,The Ordinary Hyaluronic Acid 2% + B5,SVR Sebiaclear Hydra,Nacomi Next LvL Dermo Punktowy Krem Przeciwdziałający Niedoskonałościom,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,FACEBOOM Seboom peeling kwasowy wygładzający
Tłusta,Niedoskonałości,Brak,1,19,BIELENDA CBD Cannabidiol,APIS COUPEROSE-STOP SERUM DLA CERY Z PROBLEMAMI NACZYNKOWYMI,Bandi Medical Expert Anti Dry Emulsja silnie nawilżająca,Skin79 Waterproof Sun Gel Krem ochronny SPF50,The Ordinary - Niacinamide 10% + Zinc 1% - Serum z Witaminą B3 i Cynkiem,Bielenda Professional SupremeLAB Barrier Renew Odżywczy Krem na Noc z Ceramidami,Bandi - Sebo Care - Pasta Punktowa na Niedoskonałości z Kalaminą,Maseczka Bielenda Skin Restart Sensory Mask Nawilżająca Maseczka prebiotyczna,Brak
